name,ra_j2000,dec_j2000
J0126+2559,21.678302645833334,25.983694447222224
J0834+5534,128.72876670833332,55.57251952777778
J1229+0203,187.27791560416662,2.0523883916666663
J1642+3948,250.74504155416662,39.81027611944444
J1135+3708,173.77471806666665,37.14465811666667
J1145+695A,176.28154913749998,69.97103431666667
J2052+3635,313.2168959833333,36.59313893888889
J0125-0005,21.37018267083333,-0.09886990555555555
J0217+7349,34.37838903333333,73.82572826388889
J1126+3345,171.598599225,33.757466916666665
J1331+3030,202.78453355,30.50915527777778
J1127+5650,171.91722997083332,56.83744314166667
J0336+3218,54.125448337499996,32.30815059444444
J1844+3316,281.16720792499996,33.2707125
J1244+4048,191.20494807499998,40.801711786111106
J0824+3916,126.23118274166666,39.27830666111111
J0459+2706,74.98369694166666,27.100580805555555
J1326+3154,201.56879869999997,31.902644536111108
J0825+3919,126.34868413333332,39.32937741388889
J1347+1217,206.8890067875,12.290066608333333
